Entity,Code,Day,"People fully vaccinated (cumulative, per hundred)"
Africa,,2022-02-25,12.975429
Africa,,2022-02-26,13.007478
Africa,,2022-02-27,13.043921
Africa,,2022-02-28,13.08386
Africa,,2022-03-01,13.121612
Africa,,2022-03-02,13.1599455
Africa,,2022-03-03,13.197808
Africa,,2022-03-04,13.235245
Africa,,2022-03-05,13.27012
Africa,,2022-03-06,13.305054
Africa,,2022-03-07,13.3665085
Africa,,2022-03-08,13.4278555
Africa,,2022-03-09,13.482419
Africa,,2022-03-10,13.608591
Africa,,2022-03-11,13.732936
Africa,,2022-03-12,13.851718
Africa,,2022-03-13,13.970458
Africa,,2022-03-14,14.072409
Africa,,2022-03-15,14.10716
Africa,,2022-03-16,14.142334
Africa,,2022-03-17,14.176661
Africa,,2022-03-18,14.209576
Africa,,2022-03-19,14.241556
Africa,,2022-03-20,14.272026
Africa,,2022-03-21,14.300205
Africa,,2022-03-22,14.328058
Africa,,2022-03-23,14.357552
Africa,,2022-03-24,14.386591
Africa,,2022-03-25,14.414876
Africa,,2022-03-26,14.444029
Africa,,2022-03-27,14.471027
Africa,,2022-03-28,14.521577
Africa,,2022-03-29,14.571935
Africa,,2022-03-30,14.633799
Africa,,2022-03-31,14.69676
Africa,,2022-04-01,14.768465
Africa,,2022-04-02,14.837847
Africa,,2022-04-03,14.906881
Africa,,2022-04-04,14.975908
Africa,,2022-04-05,15.044608
Africa,,2022-04-06,15.113544
Africa,,2022-04-07,15.183541
Africa,,2022-04-08,15.234464
Africa,,2022-04-09,15.286218
Africa,,2022-04-10,15.3265
Africa,,2022-04-11,15.347966
Africa,,2022-04-12,15.370353
Africa,,2022-04-13,15.392043
Africa,,2022-04-14,15.413986
Africa,,2022-04-15,15.435194
Africa,,2022-04-16,15.455251
Africa,,2022-04-17,15.475346
Africa,,2022-04-18,15.495407
Africa,,2022-04-19,15.515543
Africa,,2022-04-20,15.536498
Africa,,2022-04-21,15.558995
Africa,,2022-04-22,15.581076
Africa,,2022-04-23,15.602962
Africa,,2022-04-24,15.621518
Africa,,2022-04-25,15.639509
Africa,,2022-04-26,15.659205
Africa,,2022-04-27,15.679928
Africa,,2022-04-28,15.699918
